(id записи, время начало урока, время окончания урока, предмет, фамилия преподавателя, id ученика, фамилия ученика, имя ученика, отчество ученика, год рождения, id класса)
(43, '13:00:00', '13:40:00', 'математика', 'Макаров', 110, 'Мельникова', 'Юлия', 'Михайловна', 2013, 36)
(44, '13:00:00', '13:40:00', 'математика', 'Макаров', 124, 'Виноградова', 'Любовь', 'Давидовна', 2013, 36)
(45, '13:00:00', '13:40:00', 'математика', 'Макаров', 146, 'Ковалева', 'Алиса', 'Тимофеевна', 2008, 36)
(46, '13:00:00', '13:40:00', 'математика', 'Макаров', 152, 'Соколова', 'Мария', 'Евгеньевна', 2008, 36)
(47, '13:00:00', '13:40:00', 'математика', 'Макаров', 161, 'Горелова', 'Вероника', 'Вадимовна', 2010, 36)
(48, '13:00:00', '13:40:00', 'математика', 'Макаров', 163, 'Бирюкова', 'Арина', 'Георгиевна', 2011, 36)
(49, '13:00:00', '13:40:00', 'математика', 'Макаров', 186, 'Макарова', 'Вероника', 'Борисовна', 2010, 36)
(50, '15:30:00', '16:10:00', 'математика', 'Макаров', 24, 'Кузнецов', 'Максим', 'Фёдорович', 2012, 34)
(51, '15:30:00', '16:10:00', 'математика', 'Макаров', 42, 'Матвеев', 'Даниил', 'Филиппович', 2009, 34)
(52, '15:30:00', '16:10:00', 'математика', 'Макаров', 76, 'Семенов', 'Григорий', 'Маркович', 2009, 34)
(53, '15:30:00', '16:10:00', 'математика', 'Макаров', 85, 'Агеев', 'Иван', 'Владимирович', 2007, 34)
(54, '15:30:00', '16:10:00', 'математика', 'Макаров', 135, 'Кузнецова', 'Вера', 'Андреевна', 2008, 34)
(55, '15:30:00', '16:10:00', 'математика', 'Макаров', 159, 'Харитонова', 'Дарья', 'Алексеевна', 2013, 34)
(56, '15:30:00', '16:10:00', 'математика', 'Макаров', 162, 'Корчагина', 'Агата', 'Данииловна', 2010, 34)
(57, '16:15:00', '16:55:00', 'физика', 'Лебедев', 2, 'Соболев', 'Роман', 'Максимович', 2007, 29)
(58, '16:15:00', '16:55:00', 'физика', 'Лебедев', 21, 'Воробьев', 'Станислав', 'Артёмович', 2007, 29)
(59, '16:15:00', '16:55:00', 'физика', 'Лебедев', 67, 'Демин', 'Иван', 'Александрович', 2013, 29)
(60, '16:15:00', '16:55:00', 'физика', 'Лебедев', 96, 'Левин', 'Константин', 'Александрович', 2011, 29)
(61, '16:15:00', '16:55:00', 'физика', 'Лебедев', 96, 'Яковлева', 'Елизавета', 'Кирилловна', 2007, 29)
(62, '16:15:00', '16:55:00', 'физика', 'Лебедев', 140, 'Морозова', 'Ксения', 'Георгиевна', 2012, 29)
(63, '16:15:00', '16:55:00', 'физика', 'Лебедев', 187, 'Колосова', 'Софья', 'Марковна', 2012, 29)
(64, '16:15:00', '16:55:00', 'физика', 'Лебедев', 194, 'Максимова', 'Елизавета', 'Олеговна', 2011, 29)
(65, '16:15:00', '16:55:00', 'физика', 'Лебедев', 4, 'Корнилов', 'Михаил', 'Петрович', 2007, 32)
(66, '17:00:00', '17:40:00', 'физика', 'Лебедев', 26, 'Зубов', 'Богдан', 'Матвеевич', 2012, 32)
(67, '17:00:00', '17:40:00', 'физика', 'Лебедев', 32, 'Фролов', 'Илья', 'Матвеевич', 2013, 32)
(68, '17:00:00', '17:40:00', 'физика', 'Лебедев', 37, 'Сычев', 'Кирилл', 'Романович', 2011, 32)
(69, '17:00:00', '17:40:00', 'физика', 'Лебедев', 41, 'Краснов', 'Сергей', 'Максимович', 2013, 32)
(70, '17:00:00', '17:40:00', 'физика', 'Лебедев', 46, 'Сергеев', 'Павел', 'Александрович', 2013, 32)
(71, '17:00:00', '17:40:00', 'физика', 'Лебедев', 48, 'Гусев', 'Борис', 'Альбертович', 2008, 32)
(72, '17:00:00', '17:40:00', 'физика', 'Лебедев', 61, 'Некрасов', 'Даниил', 'Маркович', 2009, 32)
(73, '17:00:00', '17:40:00', 'физика', 'Лебедев', 88, 'Алексеев', 'Михаил', 'Андреевич', 2011, 32)
(74, '17:00:00', '17:40:00', 'физика', 'Лебедев', 107, 'Антонова', 'Дарья', 'Тимофеевна', 2010, 32)
(75, '17:00:00', '17:40:00', 'физика', 'Лебедев', 116, 'Воробьева', 'Екатерина', 'Максимовна', 2007, 32)
(76, '17:00:00', '17:40:00', 'физика', 'Лебедев', 150, 'Игнатова', 'Алиса', 'Матвеевна', 2011, 32)
(77, '17:00:00', '17:40:00', 'физика', 'Лебедев', 179, 'Львова', 'Есения', 'Давидовна', 2009, 32)
(78, '17:00:00', '17:40:00', 'физика', 'Лебедев', 181, 'Мартынова', 'Дарья', 'Артёмовна', 2012, 32)

